"rank","tax","statistic","p.value","parameter","method","p.adj","10%Fat","60%Fat","Oleate","max","min","LDAscore","direction"
"Class","Bacteria_Actinobacteriota_Actinobacteria",4.64846793590577,0.0978583780004095,2,"Kruskal-Wallis rank sum test",0.16319437057609,NA,NA,NA,NA,NA,NA,NA
"Class","Bacteria_Actinobacteriota_Coriobacteriia",9.98323548597519,0.00679466357694828,2,"Kruskal-Wallis rank sum test",0.0203534970077957,101573.528905416,32796.1987397996,69724.2020452433,101573.528905416,32796.1987397996,4.54,"10%Fat"
"Class","Bacteria_Bacteroidota_Bacteroidia",15.4416118568287,0.000443503028139767,2,"Kruskal-Wallis rank sum test",0.00227664887778414,1360052.33619116,2344799.091003,1770306.0978549,2344799.091003,1360052.33619116,5.69,"60%Fat"
"Class","Bacteria_Firmicutes_Bacilli",0.165156294249184,0.920739481902257,2,"Kruskal-Wallis rank sum test",0.945292534752983,NA,NA,NA,NA,NA,NA,NA
"Class","Bacteria_Firmicutes_Clostridia",7.01142831102845,0.0300253229356801,2,"Kruskal-Wallis rank sum test",0.0660557104584962,5156664.25644734,4283648.38343146,4063629.79031092,5156664.25644734,4063629.79031092,5.74,"10%Fat"
"Class","Bacteria_Firmicutes_Firmicutes_unclassified",1.66666666666671,0.434598208507068,2,"Kruskal-Wallis rank sum test",0.48852645335831,NA,NA,NA,NA,NA,NA,NA
"Class","Bacteria_Proteobacteria_Gammaproteobacteria",15.2584203916893,0.000486044586819616,2,"Kruskal-Wallis rank sum test",0.00230472397769169,179389.181558379,55004.6482801363,120338.807974383,179389.181558379,55004.6482801363,4.79,"10%Fat"
"Class","Bacteria_Verrucomicrobiota_Verrucomicrobiae",10.9697292630009,0.00414909669826406,2,"Kruskal-Wallis rank sum test",0.0135949125858014,483765.45122749,808284.268154116,1259856.0754743,1259856.0754743,483765.45122749,5.59,"Oleate"
"Family","Bacteria_Actinobacteriota_Actinobacteria_Bifidobacteriales_Bifidobacteriaceae",6.25233646766902,0.0438856349812029,2,"Kruskal-Wallis rank sum test",0.087472269143109,344.317047137004,19109.5961161037,0,19109.5961161037,0,3.98,"60%Fat"
"Family","Bacteria_Actinobacteriota_Actinobacteria_Corynebacteriales_Corynebacteriaceae",3.39393939393949,0.183237950104459,2,"Kruskal-Wallis rank sum test",0.256933278769133,NA,NA,NA,NA,NA,NA,NA
"Family","Bacteria_Actinobacteriota_Coriobacteriia_Coriobacteriales_Atopobiaceae",6.13342183869898,0.0465740891483849,2,"Kruskal-Wallis rank sum test",0.087472269143109,26512.4126295493,0,6542.02389560307,26512.4126295493,0,4.12,"10%Fat"
"Family","Bacteria_Actinobacteriota_Coriobacteriia_Coriobacteriales_Coriobacteriales_unclassified",6.10909090909081,0.0471441450576497,2,"Kruskal-Wallis rank sum test",0.087472269143109,0,1291.18892676376,0,1291.18892676376,0,2.81,"60%Fat"
"Family","Bacteria_Actinobacteriota_Coriobacteriia_Coriobacteriales_Eggerthellaceae",9.43171016052372,0.00895220793688072,2,"Kruskal-Wallis rank sum test",0.0249981156774352,75061.1162758668,31505.0098130358,63182.1781496402,75061.1162758668,31505.0098130358,4.34,"10%Fat"
"Family","Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae",6.13980832267285,0.0464256040120715,2,"Kruskal-Wallis rank sum test",0.087472269143109,1071170.33364322,783751.678545605,683297.180043384,1071170.33364322,683297.180043384,5.29,"10%Fat"
"Family","Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Muribaculaceae",37.5787995228167,6.91619716218112e-09,2,"Kruskal-Wallis rank sum test",2.13018872595178e-07,288882.002547946,1561047.41245739,1087008.91781152,1561047.41245739,288882.002547946,5.8,"60%Fat"
"Family","Bacteria_Firmicutes_Bacilli_Acholeplasmatales_Acholeplasmataceae",38.7271782567187,3.89493389954544e-09,2,"Kruskal-Wallis rank sum test",1.99939940176666e-07,0,27114.967462039,344.317047137004,27114.967462039,0,4.13,"60%Fat"
"Family","Bacteria_Firmicutes_Bacilli_Bacillales_Bacillales_unclassified",3.00000000000008,0.223130160148421,2,"Kruskal-Wallis rank sum test",0.291203768329295,NA,NA,NA,NA,NA,NA,NA
"Family","Bacteria_Firmicutes_Bacilli_Erysipelotrichales_Erysipelatoclostridiaceae",9.9604228451083,0.0068726093792557,2,"Kruskal-Wallis rank sum test",0.0203534970077957,41662.3627035775,10587.7491994629,9640.87731983611,41662.3627035775,9640.87731983611,4.2,"10%Fat"
"Family","Bacteria_Firmicutes_Bacilli_Erysipelotrichales_Erysipelotrichaceae",31.3712318106398,1.54107426150129e-07,2,"Kruskal-Wallis rank sum test",2.15750396610181e-06,133595.014289157,1230244.80942051,448472.953895947,1230244.80942051,133595.014289157,5.74,"60%Fat"
"Family","Bacteria_Firmicutes_Bacilli_Lactobacillales_Enterococcaceae",5.0968545672021,0.0782045629334092,2,"Kruskal-Wallis rank sum test",0.133816696574945,NA,NA,NA,NA,NA,NA,NA
"Family","Bacteria_Firmicutes_Bacilli_Lactobacillales_Lactobacillaceae",26.9454384756433,1.40887472747078e-06,2,"Kruskal-Wallis rank sum test",1.46653367891637e-05,866818.166167407,13686.6026236959,899183.968598285,899183.968598285,13686.6026236959,5.65,"Oleate"
"Family","Bacteria_Firmicutes_Bacilli_Lactobacillales_Lactobacillales_unclassified",1.66666666666671,0.434598208507068,2,"Kruskal-Wallis rank sum test",0.48852645335831,NA,NA,NA,NA,NA,NA,NA
"Family","Bacteria_Firmicutes_Bacilli_Lactobacillales_Streptococcaceae",3.13865019692085,0.208185639763023,2,"Kruskal-Wallis rank sum test",0.281233232662329,NA,NA,NA,NA,NA,NA,NA
"Family","Bacteria_Firmicutes_Bacilli_RF39_RF39_fa",3.8908282016356,0.14292802446997,2,"Kruskal-Wallis rank sum test",0.217929859092825,NA,NA,NA,NA,NA,NA,NA
"Family","Bacteria_Firmicutes_Bacilli_Staphylococcales_Staphylococcaceae",0.563448771997914,0.754481601572272,2,"Kruskal-Wallis rank sum test",0.779799776121677,NA,NA,NA,NA,NA,NA,NA
"Family","Bacteria_Firmicutes_Bacilli_Thermicanales_Thermicanaceae",1.66666666666671,0.434598208507068,2,"Kruskal-Wallis rank sum test",0.48852645335831,NA,NA,NA,NA,NA,NA,NA
