rank,tax,statistic,p.value,parameter,method,p.adj,10%Fat,60%Fat,Oleate,max,min,LDAscore,direction
Class,Actinobacteria,5.271577381,0.071662428,2,Kruskal-Wallis rank sum test,0.137662986,NA,NA,NA,NA,NA,NA,NA
Class,Coriobacteriia,14.77918009,0.000617649,2,Kruskal-Wallis rank sum test,0.002247191,103643.2008,30093.95263,70224.98978,103643.2008,30093.95263,4.57,10%Fat
Class,Bacteroidia,16.73684211,0.000232082,2,Kruskal-Wallis rank sum test,0.001072594,1334882.444,2376933.757,1745270.829,2376933.757,1334882.444,5.72,60%Fat
Class,Bacilli,0.232724669,0.890152632,2,Kruskal-Wallis rank sum test,0.922521819,NA,NA,NA,NA,NA,NA,NA
Class,Clostridia,6.854368063,0.03247827,2,Kruskal-Wallis rank sum test,0.069422302,5163696.518,4270986.564,4062780.978,5163696.518,4062780.978,5.74,10%Fat
Class,Firmicutes,1.334415584,0.513139371,2,Kruskal-Wallis rank sum test,0.566108596,NA,NA,NA,NA,NA,NA,NA
Class,Alphaproteobacteria,5.184021544,0.074869343,2,Kruskal-Wallis rank sum test,0.137662986,NA,NA,NA,NA,NA,NA,NA
Class,Gammaproteobacteria,15.37682341,0.000458105,2,Kruskal-Wallis rank sum test,0.001780363,183541.4651,55728.18323,128811.9872,183541.4651,55728.18323,4.81,10%Fat
Class,Verrucomicrobiae,10.81919083,0.00447345,2,Kruskal-Wallis rank sum test,0.011417312,481587.7986,798291.595,1278038.812,1278038.812,481587.7986,5.6,Oleate
Family,Actinobacteria,3.388956552,0.183695042,2,Kruskal-Wallis rank sum test,0.261765435,NA,NA,NA,NA,NA,NA,NA
Family,Actinobacteria,3.393939394,0.18323795,2,Kruskal-Wallis rank sum test,0.261765435,NA,NA,NA,NA,NA,NA,NA
Family,Coriobacteriia,7.254055468,0.026595115,2,Kruskal-Wallis rank sum test,0.059061878,24411.44188,0,6317.227505,24411.44188,0,4.09,10%Fat
Family,Coriobacteriia,17.6882035,0.00014423,2,Kruskal-Wallis rank sum test,0.000770729,0,984.9463901,57.76945113,984.9463901,0,2.69,60%Fat
Family,Coriobacteriia,15.04368063,0.000541136,2,Kruskal-Wallis rank sum test,0.002056316,79231.75888,29109.00623,63849.99282,79231.75888,29109.00623,4.4,10%Fat
Family,Bacteroidia,5.982187612,0.050232462,2,Kruskal-Wallis rank sum test,0.101055894,NA,NA,NA,NA,NA,NA,NA
Family,Bacteroidia,39.57107053,2.55E-09,2,Kruskal-Wallis rank sum test,7.28E-08,279902.1274,1608352.757,1068454.899,1608352.757,279902.1274,5.82,60%Fat
