"rank","tax","statistic","p.value","parameter","method","p.adj","10%Fat","60%Fat","Oleate","max","min","LDAscore","direction"
"Class","Bacteria_Actinobacteriota_Actinobacteria",6.25233646766902,0.0438856349812029,2,"Kruskal-Wallis rank sum test",0.0692042705472814,2912.47997670016,112564.11092962,0,112564.11092962,0,4.75,"60%Fat"
"Class","Bacteria_Firmicutes_Bacilli",6.72367724867728,0.0346714525282241,2,"Kruskal-Wallis rank sum test",0.0692042705472814,457315.303188608,117648.204657619,163612.084754941,457315.303188608,117648.204657619,5.23,"10%Fat"
"Class","Bacteria_Firmicutes_Clostridia",3.09067765567766,0.213239607465769,2,"Kruskal-Wallis rank sum test",0.249794968745616,NA,NA,NA,NA,NA,NA,NA
"Family","Bacteria_Actinobacteriota_Actinobacteria_Bifidobacteriales_Bifidobacteriaceae",6.25233646766902,0.0438856349812029,2,"Kruskal-Wallis rank sum test",0.0692042705472814,2912.47997670016,112564.11092962,0,112564.11092962,0,4.75,"60%Fat"
"Family","Bacteria_Firmicutes_Bacilli_Erysipelotrichales_Erysipelatoclostridiaceae",7.13784848187732,0.0281861588926572,2,"Kruskal-Wallis rank sum test",0.0642018063666081,418130.966923326,79220.8562389454,124494.368715054,418130.966923326,79220.8562389454,5.23,"10%Fat"
"Family","Bacteria_Firmicutes_Bacilli_Erysipelotrichales_Erysipelotrichaceae",8.65310216363375,0.0132130396883861,2,"Kruskal-Wallis rank sum test",0.038695330515988,0,5937.42006190875,20492.0981248647,20492.0981248647,0,4.01,"Oleate"
"Family","Bacteria_Firmicutes_Bacilli_Lactobacillales_Enterococcaceae",2.79272343163619,0.247495787871779,2,"Kruskal-Wallis rank sum test",0.260187879557512,NA,NA,NA,NA,NA,NA,NA
"Family","Bacteria_Firmicutes_Clostridia_Christensenellales_Christensenellaceae",3.87112325245058,0.144343179139781,2,"Kruskal-Wallis rank sum test",0.197269011491034,NA,NA,NA,NA,NA,NA,NA
"Family","Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae",35.5788914800474,1.87993086819426e-08,2,"Kruskal-Wallis rank sum test",2.56923885319882e-07,14337.3985377079,2215067.64599365,103476.573221765,2215067.64599365,14337.3985377079,6.04,"60%Fat"
"Family","Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae",29.8865019692087,3.2376399903519e-07,2,"Kruskal-Wallis rank sum test",2.21238732674047e-06,3906047.42846188,2229724.24444058,5018211.10414211,5018211.10414211,2229724.24444058,6.14,"Oleate"
"Family","Bacteria_Firmicutes_Clostridia_Oscillospirales_Butyricicoccaceae",1.90040650406503,0.38666242554329,2,"Kruskal-Wallis rank sum test",0.38666242554329,NA,NA,NA,NA,NA,NA,NA
"Family","Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae",11.4733261725743,0.00322551359778458,2,"Kruskal-Wallis rank sum test",0.0120223688644698,4832359.46294078,4727284.60394532,3293312.91633204,4832359.46294078,3293312.91633204,5.89,"10%Fat"
"Family","Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae",20.9687846872976,2.79696002304887e-05,2,"Kruskal-Wallis rank sum test",0.000143344201181255,283608.932250103,404958.034745959,1094499.24896958,1094499.24896958,283608.932250103,5.61,"Oleate"
"Family","Bacteria_Firmicutes_Clostridia_Peptococcales_Peptococcaceae",3.10239885427856,0.211993550458326,2,"Kruskal-Wallis rank sum test",0.249794968745616,NA,NA,NA,NA,NA,NA,NA
"Genus","Bacteria_Actinobacteriota_Actinobacteria_Bifidobacteriales_Bifidobacteriaceae_Bifidobacterium",6.25233646766902,0.0438856349812029,2,"Kruskal-Wallis rank sum test",0.0692042705472814,2912.47997670016,112564.11092962,0,112564.11092962,0,4.75,"60%Fat"
"Genus","Bacteria_Firmicutes_Bacilli_Erysipelotrichales_Erysipelatoclostridiaceae_Erysipelatoclostridium",7.13784848187732,0.0281861588926572,2,"Kruskal-Wallis rank sum test",0.0642018063666081,418130.966923326,79220.8562389454,124494.368715054,418130.966923326,79220.8562389454,5.23,"10%Fat"
"Genus","Bacteria_Firmicutes_Bacilli_Erysipelotrichales_Erysipelotrichaceae_uncultured",8.65310216363375,0.0132130396883861,2,"Kruskal-Wallis rank sum test",0.038695330515988,0,5937.42006190875,20492.0981248647,20492.0981248647,0,4.01,"Oleate"
"Genus","Bacteria_Firmicutes_Bacilli_Lactobacillales_Enterococcaceae_Enterococcus",2.79272343163619,0.247495787871779,2,"Kruskal-Wallis rank sum test",0.260187879557512,NA,NA,NA,NA,NA,NA,NA
"Genus","Bacteria_Firmicutes_Clostridia_Christensenellales_Christensenellaceae_uncultured",3.87112325245058,0.144343179139781,2,"Kruskal-Wallis rank sum test",0.197269011491034,NA,NA,NA,NA,NA,NA,NA
"Genus","Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium",35.5788914800474,1.87993086819426e-08,2,"Kruskal-Wallis rank sum test",2.56923885319882e-07,14337.3985377079,2215067.64599365,103476.573221765,2215067.64599365,14337.3985377079,6.04,"60%Fat"
"Genus","Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Lachnoclostridium",28.3194593626925,7.08773602163615e-07,2,"Kruskal-Wallis rank sum test",4.15138824124403e-06,2059901.65431573,731698.771605326,2496883.72483563,2496883.72483563,731698.771605326,5.95,"Oleate"
"Genus","Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_Roseburia",3.03204334844921,0.219583727171781,2,"Kruskal-Wallis rank sum test",0.25008146705675,NA,NA,NA,NA,NA,NA,NA
"Genus","Bacteria_Firmicutes_Clostridia_Lachnospirales_Lachnospiraceae_uncultured",20.2169709989259,4.07324494471846e-05,2,"Kruskal-Wallis rank sum test",0.000167003042733457,1649094.36127882,1300101.40739178,2401706.29507064,2401706.29507064,1300101.40739178,5.74,"Oleate"
"Genus","Bacteria_Firmicutes_Clostridia_Oscillospirales_Butyricicoccaceae_Butyricicoccus",7.95486735112315,0.0187336543352913,2,"Kruskal-Wallis rank sum test",0.0512053218497961,54594.1786912152,11768.1606625864,79170.1512149799,79170.1512149799,11768.1606625864,4.53,"Oleate"
"Genus","Bacteria_Firmicutes_Clostridia_Oscillospirales_Butyricicoccaceae_UCG-009",2.23581427321581,0.326963368724884,2,"Kruskal-Wallis rank sum test",0.335137452943006,NA,NA,NA,NA,NA,NA,NA
"Genus","Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_Intestinimonas",7.47778313279715,0.0237804475752236,2,"Kruskal-Wallis rank sum test",0.0609373969115106,51002.6264415905,72646.240716059,22487.1361521026,72646.240716059,22487.1361521026,4.4,"60%Fat"
"Genus","Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_Oscillibacter",9.52461510920156,0.00854586657370687,2,"Kruskal-Wallis rank sum test",0.0291983774601651,731672.99610911,950460.533476692,1274383.99016902,1274383.99016902,731672.99610911,5.43,"Oleate"
"Genus","Bacteria_Firmicutes_Clostridia_Oscillospirales_Oscillospiraceae_uncultured",20.6362334407447,3.30292600764781e-05,2,"Kruskal-Wallis rank sum test",0.000150466629237289,4049683.84039008,3704177.82975257,1996441.79001092,4049683.84039008,1996441.79001092,6.01,"10%Fat"
"Genus","Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_Anaerotruncus",29.8953474288595,3.22335240176423e-07,2,"Kruskal-Wallis rank sum test",2.21238732674047e-06,62001.9096164158,90037.6038138749,811004.49743698,811004.49743698,62001.9096164158,5.57,"Oleate"
"Genus","Bacteria_Firmicutes_Clostridia_Oscillospirales_Ruminococcaceae_uncultured",3.09140277201291,0.213162309717733,2,"Kruskal-Wallis rank sum test",0.249794968745616,NA,NA,NA,NA,NA,NA,NA
"Genus","Bacteria_Firmicutes_Clostridia_Peptococcales_Peptococcaceae_uncultured",3.10239885427856,0.211993550458326,2,"Kruskal-Wallis rank sum test",0.249794968745616,NA,NA,NA,NA,NA,NA,NA
"Kingdom","Bacteria",NA,NA,2,"Kruskal-Wallis rank sum test",NA,NA,NA,NA,NA,NA,NA,NA
"Order","Bacteria_Actinobacteriota_Actinobacteria_Bifidobacteriales",6.25233646766902,0.0438856349812029,2,"Kruskal-Wallis rank sum test",0.0692042705472814,2912.47997670016,112564.11092962,0,112564.11092962,0,4.75,"60%Fat"
"Order","Bacteria_Firmicutes_Bacilli_Erysipelotrichales",6.40910826902739,0.0405769894843484,2,"Kruskal-Wallis rank sum test",0.0692042705472814,418130.966923326,85158.2763008542,144986.466839919,418130.966923326,85158.2763008542,5.22,"10%Fat"
"Order","Bacteria_Firmicutes_Bacilli_Lactobacillales",2.79272343163619,0.247495787871779,2,"Kruskal-Wallis rank sum test",0.260187879557512,NA,NA,NA,NA,NA,NA,NA
